"date","temperature_c_castelobranco","pressure_msl_castelobranco","windspeed_100m_castelobranco","temperature_c_evora","pressure_msl_evora","windspeed_100m_evora","temperature_c_faro","pressure_msl_faro","windspeed_100m_faro","temperature_c_guarda","pressure_msl_guarda","windspeed_100m_guarda","temperature_c_leiria","pressure_msl_leiria","windspeed_100m_leiria","temperature_c_lisbona","pressure_msl_lisbona","windspeed_100m_lisbona","temperature_c_porto","pressure_msl_porto","windspeed_100m_porto","temperature_c_santarem","pressure_msl_santarem","windspeed_100m_santarem","temperature_c_vilareal","pressure_msl_vilareal","windspeed_100m_vilareal","smoothed_capacity"
"2015-01-01",1034.82916666667,5.375,9.03333333333333,1034.09583333333,6.975,16.3125,1033.3,11.6708333333333,15.1375,1035.69166666667,2.48333333333333,14.7375,1034.67916666667,8.65,10.6208333333333,1034.45833333333,8.44583333333333,16.5041666666667,1035.2625,6.98333333333333,9.8,1034.63333333333,5.76666666666667,12.825,1035.91666666667,5.38333333333333,10.625,4486
"2015-01-02",1037.85,5.8875,9.84583333333333,1037.075,7.76666666666667,18.3375,1036.32916666667,11.7583333333333,10.8416666666667,1038.01666666667,3.88333333333333,9.11666666666667,1037.50416666667,7.27083333333333,5.60833333333333,1037.1625,8.92916666666667,14.65,1037.75,7.2,6.50833333333333,1037.57916666667,6.17083333333333,12.1958333333333,1038.15416666667,5.8,9.01666666666667,4486
"2015-01-03",1037.90416666667,7.09583333333333,9.17083333333333,1037.20833333333,7.94583333333333,14.325,1036.29583333333,12.6875,13.7833333333333,1037.72083333333,6.05,3.92916666666667,1037.74583333333,8.20833333333333,11.1375,1037.40416666667,8.9125,14.0041666666667,1038.05416666667,7.49583333333333,7.31666666666667,1037.80833333333,6.06666666666667,13.5666666666667,1038.1125,6.1,4.8625,4486
"2015-01-04",1033.575,7.14166666666667,7.3625,1032.93333333333,8.17083333333333,13.0583333333333,1032.42083333333,13.075,7.75416666666667,1033.89166666667,5.1375,8.90833333333333,1033.61666666667,8.96666666666667,8.0125,1033.29583333333,8.99166666666667,14.2041666666667,1033.84583333333,7.3625,5.91666666666667,1033.5,6.2375,10.4625,1034.15,6.425,9.4875,4486
"2015-01-05",1029.35,6.9125,7.85416666666667,1029.45,7.32083333333333,9.72916666666667,1029.42916666667,12.8875,6.60416666666667,1028.91666666667,5.125,6.54166666666667,1029.7375,7.40833333333333,7.98333333333333,1029.75416666667,7.91666666666667,10.3666666666667,1029.625,8.025,6.89583333333333,1029.78333333333,5.2375,9.3125,1029.60833333333,5.175,7.14583333333333,4486
"2015-01-06",1028.5875,3.48333333333333,6.30833333333333,1028.62916666667,5.89166666666667,11.925,1028.34166666667,10.5625,15.4583333333333,1028.76666666667,1.82083333333333,8.66666666666667,1028.42083333333,8.325,9.425,1028.41666666667,9.62916666666667,7.15833333333333,1028.49166666667,8.29166666666667,6.93333333333333,1028.45833333333,6.5125,8.3125,1029,3.94166666666667,5.20833333333333,4486
"2015-01-07",1031.80416666667,3.06666666666667,8.32083333333333,1030.8875,4.70833333333333,16.0541666666667,1029.82916666667,9.8875,13.8666666666667,1032.5875,0.679166666666667,11.6625,1031.12083333333,6.6375,7.0375,1030.925,7.4375,12.3291666666667,1031.60833333333,6.46666666666667,12.3333333333333,1031.28333333333,4.00833333333333,9.38333333333333,1032.75,2.30416666666667,12.5166666666667,4486
"2015-01-08",1037.94583333333,3.925,11.0416666666667,1036.9375,6.60416666666667,20.8083333333333,1035.44583333333,11.1666666666667,17.5583333333333,1039.125,0.9125,8.57083333333333,1037.80416666667,7.27083333333333,9.6125,1037.2875,8.22916666666667,19.7333333333333,1038.5375,6.5,11.3375,1037.68333333333,5.275,14.35,1039.5375,2.09583333333333,11.375,4486
"2015-01-09",1041.675,5.7125,16.5291666666667,1040.44166666667,8.425,25.025,1038.775,12.8916666666667,27.575,1042.66666666667,2.8375,10.2416666666667,1041.08333333333,8.775,11.9,1040.51666666667,9.375,23.5041666666667,1041.9625,7.90833333333333,11.375,1041.09583333333,7.2875,20.05,1042.92083333333,3.7,12.7083333333333,4486
"2015-01-10",1036.15,7.25833333333333,10.2625,1035.5,9.17083333333333,13.3083333333333,1034.77916666667,13.2708333333333,16.4875,1036.0625,6.32083333333333,5.20416666666667,1036.05416666667,9.275,13.5708333333333,1035.8125,9.975,13.975,1036.34583333333,7.84166666666667,8.3125,1036.1375,7.54166666666667,14.0916666666667,1036.5125,5.86666666666667,7.00833333333333,4486
"2015-01-11",1031.83333333333,6.68333333333333,9.275,1031.9125,9.52083333333333,13.3958333333333,1031.41666666667,13.1625,16.55,1033.11666666667,4.24166666666667,12.5583333333333,1032.86666666667,10.0708333333333,16.8416666666667,1032.56666666667,11.0791666666667,21.2375,1033.34166666667,8.10833333333333,12.0708333333333,1032.44166666667,9.29166666666667,17.7208333333333,1033.65416666667,4.875,9.77916666666667,4486
"2015-01-12",1030.27916666667,6.675,12.5666666666667,1029.525,9.70416666666667,13.2541666666667,1029.08333333333,13.425,15.7541666666667,1030.48333333333,4.04583333333333,12.6708333333333,1029.74166666667,9.04583333333333,10.2958333333333,1029.70833333333,10.0875,9.95833333333333,1029.72916666667,8.60833333333333,14.2333333333333,1029.87083333333,8.2875,9.53333333333333,1030.44166666667,4.07083333333333,9.64166666666667,4486
"2015-01-13",1026.8125,7.35416666666667,10.3833333333333,1026.85416666667,9.39166666666667,11.1291666666667,1026.54166666667,13.9916666666667,12.4,1026.33333333333,4.2625,17.75,1026.53333333333,9.84166666666667,14.9708333333333,1026.825,10.4,8.32916666666667,1025.35833333333,9.89166666666667,22.8208333333333,1026.84166666667,7.75416666666667,8.24166666666667,1025.55416666667,5.5625,13.7708333333333,4486
"2015-01-14",1026.7875,8.5125,9.975,1026.76666666667,9.85,3.99166666666667,1026.34166666667,12.325,12.2041666666667,1026.675,5.42916666666667,12.7458333333333,1026.55833333333,10.4041666666667,9.0875,1026.525,11.6666666666667,8.84166666666667,1025.8125,9.02083333333333,18.8833333333333,1026.575,10.3166666666667,8.44583333333333,1026.17916666667,6.33333333333333,9.525,4486
"2015-01-15",1017.85,8.52916666666667,27.9458333333333,1018.92916666667,9.95416666666667,27.225,1020.325,12.7416666666667,25.7208333333333,1016.3,5.48333333333333,33.4458333333333,1016.84583333333,11.45,32.825,1017.95833333333,12.5958333333333,37.425,1014.5,10.0625,34.2583333333333,1017.49166666667,10.525,30.3083333333333,1014.79166666667,6.54166666666667,23.8125,4486
"2015-01-16",1019.37916666667,4.65833333333333,24.7833333333333,1020.70833333333,7.44166666666667,25.9333333333333,1021.62083333333,11.0666666666667,30.0125,1018.79166666667,1.05416666666667,20.8166666666667,1020.08333333333,9.19583333333333,29.1666666666667,1021.30833333333,9.75416666666667,36.8125,1018.58333333333,7.79583333333333,16.7875,1020.4375,8.2625,27.6041666666667,1018.65,4.02916666666667,14.425,4486
"2015-01-17",1025.0375,3.225,12.2083333333333,1025.35833333333,6.34166666666667,17.6458333333333,1026.00416666667,9.97916666666667,16.8208333333333,1024.6,0.170833333333333,14.9208333333333,1024,8.51666666666667,20.0708333333333,1024.6875,9.40833333333333,21.8833333333333,1022.96666666667,6.3125,19.4166666666667,1024.45,7.15,18.3125,1023.59166666667,2.81666666666667,10.2791666666667,4486
"2015-01-18",1012.6875,4.0125,18.4916666666667,1011.09166666667,9.08333333333333,21.6458333333333,1011.52083333333,13.1916666666667,28.2541666666667,1013.11666666667,1.8375,24.375,1011.27916666667,9.69166666666667,32.025,1011.00833333333,11.9916666666667,30.3916666666667,1011.38333333333,8.2125,25.35,1011.075,9.24583333333333,22.6375,1012.07916666667,4.27083333333333,14.2916666666667,4486
"2015-01-19",1015.2375,4.6125,30.6208333333333,1015.61666666667,6.59583333333333,35.1,1015.0875,9.8875,42.7083333333333,1016.55416666667,0.629166666666667,29.6916666666667,1017.80833333333,8.62083333333333,37.4458333333333,1017.65833333333,9.25833333333333,47.8708333333333,1018.36666666667,7.24583333333333,22.4708333333333,1017.22916666667,7.50833333333333,38.8833333333333,1018.07083333333,3.60833333333333,15.35,4486
